"","top500rank","green500rank.g","site.g","manufacturer.g","computer.g","country.g","mflopswatt.g","power.g","how.g","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcores.t","rmax.t","rpeak.t","effeciency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","accelerator.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"172",172,182,"Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.78,380.23,"Submission","","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","Defense","IBM","United States",2010,"Industry",9648,0,81664,109215.36,74.77,0,0,380.23,214.78,"Cluster","Xeon E54440 4C 2.83GHz","Intel Core",2830,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"173",173,183,"Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.78,380.23,"Submission","","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","Defense","IBM","United States",2010,"Industry",9648,0,81664,109215.36,74.77,0,0,380.23,214.78,"Cluster","Xeon E54440 4C 2.83GHz","Intel Core",2830,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"174",174,184,"Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.78,380.23,"Submission","","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","Defense","IBM","United States",2010,"Industry",9648,0,81664,109215.36,74.77,0,0,380.23,214.78,"Cluster","Xeon E54440 4C 2.83GHz","Intel Core",2830,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"175",175,185,"Defense","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","United States",214.78,380.23,"Submission","","BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","Defense","IBM","United States",2010,"Industry",9648,0,81664,109215.36,74.77,0,0,380.23,214.78,"Cluster","Xeon E54440 4C 2.83GHz","Intel Core",2830,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"176",176,313,"Semiconductor Company (C)","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet","United States",166.13,486,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet","Semiconductor Company (C)","IBM","United States",2010,"Industry",14328,0,80739,167924.16,48.08,0,0,486,166.13,"Cluster","Xeon X5570 4C 2.93GHz","Intel EM64T",2930,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"177",177,370,"Maui High-Performance Computing Center (MHPCC)","Dell","Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband","United States",118.63,679.24,"derived","Mana","Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband","Maui High-Performance Computing Center (MHPCC)","Dell","United States",2009,"Research",9210,0,80580,103219,78.07,0,0,NA,NA,"Cluster","Xeon X5560 4C 2.80GHz","Intel EM64T",2800,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","PowerEdge M610 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband","North America","Americas"
"178",178,68,"University of North Carolina","Dell","PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","United States",417.91,190.95,"derived","KillDevil","PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","University of North Carolina","Dell","United States",2011,"Academic",8040,0,79800,94228.8,84.69,1800000,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"RedHat Enterprise 5","Linux","None",6,"Xeon X56xx (Westmere-EP)","PowerEdge C6100 Cluster","Dell PowerEdge Cluster","Infiniband","Infiniband QDR","North America","Americas"
"179",179,362,"IT Service Provider (D)","Hewlett-Packard","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30 GHz, Gigabit Ethernet","United States",124.9,635.4,"derived","","Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30 GHz, Gigabit Ethernet","IT Service Provider (D)","Hewlett-Packard","United States",2011,"Industry",16944,0,79363,155885,50.91,0,0,NA,NA,"Cluster","Opteron 6176 12C 2.30GHz","AMD x86_64",2300,"Linux","Linux","None",12,"Opteron 12 Core","Cluster Platform 4000 BL465c G7","HP Cluster Platform 4000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"180",180,385,"DLR - CASE","Oracle","Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR","Germany",100.94,786.04,"derived","CASE Cluster","Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR","DLR - CASE","Oracle","Germany",2011,"Research",7680,0,79340,91130,87.06,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Oracle Blade x6275","Sun Blade System","Infiniband","Infiniband QDR","Western Europe","Europe"
"181",181,396,"CINECA","IBM","Power 575, p6 4.7 GHz, Infiniband","Italy",91.59,859,"Submission","","Power 575, p6 4.7 GHz, Infiniband","CINECA","IBM","Italy",2009,"Academic",5376,0,78680,101068.8,77.85,907199,0,859,91.59,"MPP","POWER6 2C 4.70GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","Southern Europe","Europe"
"182",182,397,"Naval Oceanographic Office - NAVO DSRC","IBM","Power 575, p6 4.7 GHz, Infiniband","United States",90.54,869,"Submission","","Power 575, p6 4.7 GHz, Infiniband","Naval Oceanographic Office - NAVO DSRC","IBM","United States",2009,"Research",5440,0,78680,102272,76.93,0,0,869,90.54,"MPP","POWER6 2C 4.70GHz","Power",4700,"AIX","Unix","None",2,"POWER6","pSeries 575","IBM pSeries","Infiniband","Infiniband","North America","Americas"
"183",183,465,"IT Service Provider (D)","Hewlett-Packard","Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE","United States",52.84,1471.37,"derived","","Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE","IT Service Provider (D)","Hewlett-Packard","United States",2011,"Industry",12822,0,77745.1,150273.8,51.74,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G6","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"184",184,202,"Communications","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","Israel",200.83,386.88,"Submission","","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","Communications","IBM","Israel",2011,"Industry",13788,0,77696,161595,48.08,0,0,386.88,200.83,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","BladeCenter HS22 Cluster (WM)","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","Western Asia","Asia"
"185",185,375,"Center for Computational Sciences, University of Tsukuba","Appro International","Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Japan",115.17,671,"Top500","T2K Open Supercomputer","Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Center for Computational Sciences, University of Tsukuba","Appro International","Japan",2009,"Academic",10368,0,77280,95385,81.02,1562400,0,671,115.17,"Cluster","Opteron Quad Core 4C 2.30GHz","AMD x86_64",2300,"Redhat Linux","Linux","None",4,"Opteron Quad Core","Appro XtremeServers","Appro XtremeServer","Infiniband","Infinband DDR 4x","Eastern Asia","Asia"
"186",186,405,"Lockheed Martin","IBM","BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband","United States",85.27,906.16,"Submission","","BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband","Lockheed Martin","IBM","United States",2011,"Industry",9712,0,77267,103568.77,74.6,0,0,906.16,85.27,"Cluster","Xeon E5430 4C 2.67GHz","Intel Core",2666,"Linux","Linux","None",4,"Xeon 5400-series ""Harpertown""","BladeCenter HS21 Cluster","IBM BladeCenter","Infiniband","Infiniband","North America","Americas"
"187",187,157,"CLUMEQ - Universit Laval","Sun Microsystems","Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","Canada",232.44,332,"Top500","Colosse","Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","CLUMEQ - Universit Laval","Sun Microsystems","Canada",2009,"Academic",7616,0,77170,85299,90.47,1160376,0,332,232.44,"Cluster","Xeon X5560 4C 2.80GHz","Intel EM64T",2800,"Linux","Linux","None",4,"Xeon X55xx (Nehalem-EP)","Sun Blade 6048","Sun Blade System","Infiniband","Infiniband","North America","Americas"
"188",188,318,"US Army Research Laboratory (ARL)","Cray Inc.","Cray XT5 QC 2.3 GHz","United States",159.67,481,"Top500","","Cray XT5 QC 2.3 GHz","US Army Research Laboratory (ARL)","Cray Inc.","United States",2008,"Research",10400,0,76800,95680,80.27,0,0,481,159.67,"MPP","Opteron Quad Core 4C 2.30GHz","AMD x86_64",2300,"CNL","Linux","None",4,"Opteron Quad Core","Cray XT5 QuadCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","North America","Americas"
"189",189,398,"Compute Canada/WestGrid/University of British Columbia","Hewlett-Packard","Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR","Canada",90.4,848,"derived","Orcinus","Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR","Compute Canada/WestGrid/University of British Columbia","Hewlett-Packard","Canada",2011,"Academic",9600,0,76658,106322,72.1,0,0,NA,NA,"Cluster","Xeon E5450 4C 3.00GHz","Intel Core",3000,"Linux","Linux","None",4,"Xeon X54xx (Harpertown)","Cluster Platform 3000 BL 2x220","HP Cluster Platform 3000BL","Infiniband","Infiniband QDR","North America","Americas"
"190",190,249,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"191",191,250,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"192",192,251,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"193",193,252,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"194",194,253,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"195",195,254,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"196",196,255,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"197",197,256,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"198",198,257,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"199",199,258,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"200",200,259,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"201",201,260,"Internet Service","IBM","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","China",181.77,421.48,"Submission","","xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","Internet Service","IBM","China",2011,"Industry",13596,0,76614,144661,52.96,0,0,421.48,181.77,"Cluster","Xeon X5650 6C 2.66GHz","Intel Nehalem",2660,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","xSeries x3650M3 Cluster","IBM xSeries","Gigabit Ethernet","Gigabit Ethernet","Eastern Asia","Asia"
"202",202,328,"CSC (Center for Scientific Computing)","Cray Inc.","Cray XT5/XT4 QC 2.3 GHz","Finland",147.13,520,"Top500","","Cray XT5/XT4 QC 2.3 GHz","CSC (Center for Scientific Computing)","Cray Inc.","Finland",2009,"Academic",10864,0,76510,101996.8,75.01,0,0,520,147.13,"MPP","Opteron Quad Core 4C 2.30GHz","AMD x86_64",2300,"CNL","Linux","None",4,"Opteron Quad Core","Cray XT5 QuadCore","Cray XT","Proprietary Network","XT4 Internal Interconnect","Northern Europe","Europe"
"203",203,466,"Service Provider","Hewlett-Packard","Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","United States",52.8,1443.14,"derived","","Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","Service Provider","Hewlett-Packard","United States",2011,"Industry",12576,0,76205,147390.72,51.7,0,0,NA,NA,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"Linux","Linux","None",6,"Xeon X56xx (Westmere-EP)","Cluster Platform 3000 BL460c G7","HP Cluster Platform 3000BL","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
"204",204,301,"Service Provider","IBM","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","United States",176.2,431.5,"Submission","","BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","Service Provider","IBM","United States",2011,"Industry",13648,0,76030,138117.76,55.05,0,0,431.5,176.2,"Cluster","Xeon E5540 4C 2.53GHz","Intel EM64T",2530,"Linux","Linux","None",4,"Xeon E55xx (Nehalem-EP)","BladeCenter HS22 Cluster","IBM BladeCenter","Gigabit Ethernet","Gigabit Ethernet","North America","Americas"
